Date;Description;Result;TypeOfResult;TypeOfProgramme
2013-05-11;;384;A10 40;
2013-05-22;;383;A10 40;
2013-06-01;;388;A10 40;
2013-06-12;;395;A10 40;
2013-05-11;;94;A10 Final;
2013-05-22;;94;A10 Final;
2013-06-01;;90;A10 Final;
2013-06-12;;95;A10 Final;
2013-05-11;;478;A10 40 Final;
2013-05-22;;477;A10 40 Final;
2013-06-01;;478;A10 40 Final;
2013-06-12;;490;A10 40 Final;
2013-04-27;;284;A30 S 30;
2013-04-27;;290;A30 K 30;
2013-04-27;;574;A30 Match;
2013-05-01;;274;A30 S 30;
2013-05-01;;292;A30 K 30;
2013-05-01;;566;A30 Match;
2013-05-04;;285;A30 S 30;
2013-05-04;;288;A30 K 30;
2013-05-04;;573;A30 Match;
2013-05-10;;281;A30 S 30;
2013-05-10;;289;A30 K 30;
2013-05-10;;570;A30 Match;
2013-05-10;;87;A30 S Final;
2013-05-10;;657;A30 Match Final;
2013-05-31;;287;A30 S 30;
2013-05-31;;286;A30 K 30;
2013-05-31;;573;A30 Match;
2013-05-31;;87;A30 S Final;
2013-05-31;;660;A30 Match Final;
2013-06-05;;286;A30 S 30;
2013-06-15;;273;A30 S 30;
2013-06-15;;289;A30 K 30;
2013-06-15;;562;A30 Match;
2013-06-15;;88;A30 Final;
2013-06-15;;650;A30 Match Final;
2013-06-21;;279;A30 S 30;
2013-06-21;;293;A30 K 30;
2013-06-21;;572;A30 Match;
2013-06-29;;286;A30 S 30;
2013-06-29;;292;A30 K 30;
2013-06-29;;578;A30 Match;
2013-06-24;;291;A30 K 30;
2013-07-07;;280;A30 S 30;
2013-07-07;;293;A30 K 30;
2013-07-07;;573;A30 Match;
2013-07-07;;91;A30 S Final;
2013-07-07;;664;A30 Match Final;
2013-08-03;;284;A30 S 30;
2013-08-03;;287;A30 K 30;
2013-08-03;;571;A30 Match;
2013-08-11;;275;A30 S 30;
2013-08-11;;290;A30 K 30;
2013-08-11;;565;A30 Match;
2013-08-11;;90;A30 S Final;
2013-08-11;;655;A30 Match Final;
2013-08-24;;277;A30 S 30;
2013-08-24;;290;A30 K 30;
2013-08-24;;567;A30 Match;
2013-08-31;;285;A30 S 30;
2013-08-31;;293;A30 K 30;
2013-08-31;;578;A30 Match;
2013-09-05;;277;A30 S 30;
2013-09-05;;294;A30 K 30;
2013-09-05;;571;A30 Match;
2013-09-05;;88;A30 S Final;
2013-09-05;;659;A30 Match Final;
2013-09-14;;276;A30 S 30;
2013-09-14;;293;A30 K 30;
2013-09-14;;569;A30 Match;
2013-09-14;;92;A30 S Final;
2013-09-14;;661;A30 Match Final;
2013-09-21;;282;A30 S 30;
2013-09-21;;296;A30 K 30;
2013-09-21;;578;A30 Match;
2013-10-05;;284;A30 S 30;
2013-10-05;;294;A30 K 30;
2013-10-05;;578;A30 Match;
2013-10-05;;94;A30 S Final;
2013-10-05;;672;A30 Match Final;
2014-03-26;;391;A10 40;
2014-03-26;;96;A10 Final;
